VIN,Territory,Class,Loss1,Loss2
1B3EL46X46N153437,2,S,0,0
1B3EL46X54N229812,5,A,0,0
1B3EL46X63N515540,2,A,0,0
1B3EL46X72N337166,1,S,0,0
1B3EL46X92N299374,4,M,0,0
1B3EL46X96N108106,5,M,0,0
1B3EL46XX2N128309,4,A,0,0
1B3EL46XX3N503438,3,A,0,0
1B3EL56R62N105438,5,I,0,0
1B3EL56R64N210449,3,S,0,0
1B3EL56R82N252697,5,A,0,0
1B3EL56R94N150988,2,A,0,0
1B3EL56TX3N580412,1,A,0,0
1B3EL76RX4N308069,5,A,0,0
1B3ER65E8XV503728,3,A,0,0
1B3ES22C4TD645140,1,A,0,0
1B3ES26C03D224090,4,I,0,0
1B3ES26C12D505880,2,S,0,0
1B3ES26C22D511980,4,I,0,0
1B3ES26C22D523269,5,I,0,0
1B3ES26C22D569040,6,S,0,0
1B3ES26C22D573427,5,A,0,0
1B3ES26C33D188976,5,A,0,0
1B3ES26C42D528036,5,S,0,0
1B3ES26C42D565796,1,M,0,0
1B3ES26C43D117897,1,S,0,0
1B3ES26C52D510810,5,A,0,0
1B3ES26C52D572319,2,M,0,0
1B3ES26C53D118718,2,A,0,0
1B3ES26C54D624471,6,A,0,0
1B3ES26C62D640448,6,A,0,0
1B3ES26C72D525390,4,A,0,0
1B3ES26C72D540326,5,A,0,0
1B3ES26C73D144771,1,M,0,0
1B3ES26C83D145847,2,A,0,0
1B3ES26CX2D640386,3,S,0,0
1B3ES26CX3D107391,6,A,0,0
1B3ES27C5VD173333,6,A,0,0
1B3ES27C9VD261740,1,A,0,0
1B3ES42C0WD504209,1,A,0,0
1B3ES42C1WD588587,6,A,0,0
1B3ES42C4SD205820,4,M,0,0
1B3ES42C7WD516051,6,A,0,0
1B3ES42C9TD637921,4,A,0,0
1B3ES42CXSD179238,3,M,0,0
1B3ES42Y8WD634783,4,A,0,0
1B3ES46C01D101883,6,M,0,0
1B3ES46C01D217357,4,A,0,0
1B3ES46C0YD523906,5,A,0,0
1B3ES46C0YD740730,2,B,3660,0
1B3ES46C0YD771931,5,M,0,0
1B3ES46C0YD841363,6,A,0,0
1B3ES46C0YD858017,4,A,0,0
1B3ES46C11D119230,5,I,0,0
1B3ES46C11D149151,4,A,0,0
1B3ES46C1YD538074,1,S,0,0
1B3ES46C1YD737531,4,S,0,0
1B3ES46C1YD816195,5,A,0,0
1B3ES46C1YD835748,5,A,0,0
1B3ES46C1YD835779,2,A,0,0
1B3ES46C21D162801,2,M,0,0
1B3ES46C21D179520,4,A,0,0
1B3ES46C21D281044,4,I,0,0
1B3ES46C21D290987,4,A,0,0
1B3ES46C2YD586473,1,A,0,0
1B3ES46C2YD594377,5,S,0,0
1B3ES46C2YD668610,1,A,0,0
1B3ES46C2YD859184,5,A,1255,0
1B3ES46C32D501079,6,A,0,0
1B3ES46C3YD610814,2,A,0,2750
1B3ES46C3YD649127,2,S,0,0
1B3ES46C3YD693421,2,A,0,0
1B3ES46C41D156479,6,A,0,0
1B3ES46C4YD648536,6,S,0,0
1B3ES46C5YD642406,2,I,0,0
1B3ES46C61D183621,2,A,0,0
1B3ES46C6YD671171,2,A,0,0
1B3ES46C6YD675785,6,A,0,0
1B3ES46C6YD851184,5,A,0,0
1B3ES46C6YD866784,2,M,0,0
1B3ES46C6YD871208,6,A,0,0
1B3ES46C71D100388,4,A,0,0
1B3ES46C71D119202,5,A,0,0
1B3ES46C71D156881,3,A,0,0
1B3ES46C71D270427,6,A,0,0
1B3ES46C7YD675665,6,A,0,0
1B3ES46C7YD693485,2,I,0,0
1B3ES46C7YD770730,6,S,0,0
1B3ES46C81D246637,6,A,0,0
1B3ES46C8YD556538,2,A,0,0
1B3ES46C8YD594237,4,A,0,0
1B3ES46C8YD649124,2,A,0,0
1B3ES46C8YD719155,4,A,0,0
1B3ES46C8YD737932,5,A,0,0
1B3ES46C8YD859884,3,S,0,0
1B3ES46C8YD865491,5,S,2176,0
1B3ES46C91D166635,2,A,0,0
1B3ES46C91D173214,6,S,0,0
1B3ES46C91D295524,5,A,0,0
1B3ES46C9YD516419,2,A,0,0
1B3ES46C9YD874961,6,I,0,0
1B3ES46CX1D116374,3,A,0,0
1B3ES46CX1D217138,4,S,0,0
1B3ES46CXYD683937,2,A,0,0
1B3ES46CXYD796271,6,A,0,0
1B3ES46CXYD812694,6,A,0,0
1B3ES47C0SD259589,3,A,0,0
1B3ES47C0WD699639,6,M,0,0
1B3ES47C0XD170175,3,S,0,0
1B3ES47C1VD140924,2,A,201,0
1B3ES47C1XD133118,3,A,0,0
1B3ES47C2WD746525,1,I,0,0
1B3ES47C3SD300460,2,S,0,0
1B3ES47C4WD614625,1,S,0,0
1B3ES47C4WD705989,4,M,0,0
1B3ES47C5VD102256,6,A,0,0
1B3ES47C5WD529826,5,M,949,0
1B3ES47C6WD502151,5,M,0,0
1B3ES47C6WD666970,1,I,0,0
1B3ES47C7VD230563,4,A,0,0
1B3ES47C8TD703447,5,S,0,0
